pageId	url	title	lastModified	fetchedAt	size	statusCode	fetched	htmlSnapshot	textSnapshot	lastError
85	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/73.html	Davy Crockett: 50th Anniversary Double Feature (1954)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.3550818Z	2667	200	true	pages\html\page-0085.html	pages\text\page-0085.txt	
86	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/74.html	6ixtynin9 (1999)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.3857998Z	7152	200	true	pages\html\page-0086.html	pages\text\page-0086.txt	
87	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/75.html	Grind (1997)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.4023803Z	5651	200	true	pages\html\page-0087.html	pages\text\page-0087.txt	
88	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/76.html	I Love Lucy: Season 2 (1952)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.4415733Z	3530	200	true	pages\html\page-0088.html	pages\text\page-0088.txt	
89	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/77.html	Congo (1995)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.4717491Z	7052	200	true	pages\html\page-0089.html	pages\text\page-0089.txt	
90	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/78.html	Jingle All the Way (1996)	2023-05-16T05:03:40Z	2026-04-23T11:05:26.5024066Z	8021	200	true	pages\html\page-0090.html	pages\text\page-0090.txt	
91	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/79.html	The Killing (1956)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.5357892Z	8474	200	true	pages\html\page-0091.html	pages\text\page-0091.txt	
92	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/80.html	Winter Kills (1979)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.5692398Z	8822	200	true	pages\html\page-0092.html	pages\text\page-0092.txt	
93	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/81.html	Antarctica: IMAX (1991)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.6053262Z	3738	200	true	pages\html\page-0093.html	pages\text\page-0093.txt	
94	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/82.html	The Frogmen (1951)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.6358738Z	6731	200	true	pages\html\page-0094.html	pages\text\page-0094.txt	
95	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/83.html	Silkwood (1983)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.6695984Z	7241	200	true	pages\html\page-0095.html	pages\text\page-0095.txt	
